date,p_das_used,q10,q50,q90,step,month
2025-01-01,12.21,3.6988,4.1648,4.4748,1,1
2025-01-02,12.21,3.5833,3.9956,4.1965,1,1
2025-01-03,12.21,3.5748,3.9878,4.1559,1,1
2025-01-04,12.21,3.5831,3.9936,4.1584,1,1
2025-01-05,12.21,3.5938,4.0033,4.1645,1,1
2025-01-06,12.21,3.6,4.0082,4.168,1,1
2025-01-07,12.21,3.603,4.0098,4.1704,1,1
2025-01-08,12.21,3.6966,4.1665,4.4876,2,1
2025-01-09,12.21,3.6075,4.0136,4.2179,2,1
2025-01-10,12.21,3.5854,3.9922,4.1619,2,1
2025-01-11,12.21,3.5897,3.9966,4.1613,2,1
2025-01-12,12.21,3.5972,4.0045,4.1648,2,1
2025-01-13,12.21,3.6019,4.0088,4.1677,2,1
2025-01-14,12.21,3.6041,4.0101,4.17,2,1
2025-01-15,12.21,3.7467,4.2119,4.5432,3,1
2025-01-16,12.21,3.6299,4.0295,4.2365,3,1
2025-01-17,12.21,3.5942,3.9974,4.1658,3,1
2025-01-18,12.21,3.5934,3.9989,4.1614,3,1
2025-01-19,12.21,3.5985,4.0052,4.1639,3,1
2025-01-20,12.21,3.6024,4.009,4.1668,3,1
2025-01-21,12.21,3.6042,4.0101,4.1693,3,1
2025-01-22,12.21,3.6947,4.1652,4.4847,4,1
2025-01-23,12.21,3.6056,4.0127,4.2154,4,1
2025-01-24,12.21,3.5847,3.9921,4.1619,4,1
2025-01-25,12.21,3.5892,3.9963,4.1612,4,1
2025-01-26,12.21,3.597,4.0044,4.1648,4,1
2025-01-27,12.21,3.6018,4.0088,4.1677,4,1
2025-01-28,12.21,3.604,4.0101,4.17,4,1
2025-01-29,12.21,3.6697,4.1454,4.4586,5,1
2025-01-30,12.21,3.5857,3.9996,4.1974,5,1
2025-01-31,12.21,3.5761,3.9885,4.157,5,1
2025-02-01,11.88,3.5482,3.9436,4.1018,5,2
2025-02-02,11.88,3.5536,3.9493,4.1024,5,2
2025-02-03,11.88,3.5582,3.9529,4.1047,5,2
2025-02-04,11.88,3.5606,3.9542,4.1068,5,2
2025-02-05,11.88,3.6224,4.0813,4.3877,6,2
2025-02-06,11.88,3.5468,3.9463,4.137,6,2
2025-02-07,11.88,3.5348,3.9333,4.0942,6,2
2025-02-08,11.88,3.5424,3.9388,4.0959,6,2
2025-02-09,11.88,3.5521,3.9479,4.1009,6,2
2025-02-10,11.88,3.5577,3.9525,4.1041,6,2
2025-02-11,11.88,3.5603,3.9539,4.1063,6,2
2025-02-12,11.88,3.6225,4.0815,4.3879,7,2
2025-02-13,11.88,3.5467,3.9463,4.137,7,2
2025-02-14,11.88,3.5348,3.9333,4.0942,7,2
2025-02-15,11.88,3.5423,3.9388,4.0959,7,2
2025-02-16,11.88,3.5521,3.9479,4.1009,7,2
2025-02-17,11.88,3.5577,3.9525,4.1041,7,2
2025-02-18,11.88,3.5603,3.9539,4.1063,7,2
2025-02-19,11.88,3.6225,4.0815,4.3879,8,2
