date,pacitan,nawangan,kebonagung,bandar,tegalombo,tulakan,p_das,pe,q_runoff,q_baseflow,q_total
2014-01-01,20.0,37.0,38.0,2.0,16.0,20.0,22.1667,1.228202,9.950708,3.92918,13.879887
2014-01-02,18.0,5.0,49.0,0.0,4.0,10.0,14.3333,0.040959,0.331841,3.92918,4.261021
2014-01-03,3.0,2.0,6.0,2.0,3.0,3.0,3.1667,0.0,0.0,3.92918,3.92918
2014-01-04,0.0,0.0,0.0,18.0,6.0,1.0,4.1667,0.0,0.0,3.92918,3.92918
2014-01-05,5.0,16.0,14.0,4.0,25.0,4.0,11.3333,0.0,0.0,3.92918,3.92918
2014-01-06,5.0,57.0,9.0,2.0,2.0,57.0,22.0,1.188049,9.625401,3.92918,13.55458
2014-01-07,27.0,23.0,23.0,5.0,27.0,53.0,26.3333,2.409695,19.522989,3.92918,23.452168
2014-01-08,2.0,6.0,3.0,16.0,28.0,4.0,9.8333,0.0,0.0,3.92918,3.92918
2014-01-09,3.0,26.0,8.0,7.0,1.0,14.0,9.8333,0.0,0.0,3.92918,3.92918
2014-01-10,7.0,27.0,17.0,11.0,0.0,0.0,10.3333,0.0,0.0,3.92918,3.92918
2014-01-11,0.0,6.0,0.0,14.0,0.0,0.0,3.3333,0.0,0.0,3.92918,3.92918
2014-01-12,4.0,5.0,3.0,3.0,9.0,3.0,4.5,0.0,0.0,3.92918,3.92918
2014-01-13,14.0,32.0,17.0,5.0,13.0,63.0,24.0,1.707086,13.830554,3.92918,17.759734
2014-01-14,44.0,0.0,58.0,0.0,53.0,58.0,35.5,6.023638,48.802627,3.92918,52.731806
2014-01-15,46.0,32.0,56.0,40.0,49.0,41.0,44.0,10.334283,83.726827,3.92918,87.656007
2014-01-16,40.0,37.0,104.0,61.0,36.0,54.0,55.3333,17.125639,138.749387,3.92918,142.678567
2014-01-17,0.0,0.0,0.0,3.0,0.0,0.0,0.5,0.0,0.0,3.92918,3.92918
2014-01-18,2.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,3.92918,3.92918
2014-01-19,3.0,18.0,8.0,0.0,12.0,0.0,6.8333,0.0,0.0,3.92918,3.92918
2014-01-20,19.0,24.0,30.0,6.0,27.0,44.0,25.0,1.99591,16.170569,3.92918,20.099749
2014-01-21,20.0,10.0,20.0,0.0,20.0,30.0,16.6667,0.233218,1.889498,3.92918,5.818678
